id,SalePrice
1461,123561.76017230762
1462,155515.0687591177
1463,183921.39582992205
1464,198760.39469703424
1465,187571.9437987534
1466,169722.46466400745
1467,177223.97292931637
1468,166075.02045502074
1469,182405.5098580938
1470,123300.02108789241
1471,197145.73212992307
1472,99422.58496552479
1473,98905.5097518357
1474,147333.6717334527
1475,114782.06192220903
1476,373868.5541369961
1477,251232.17861401313
1478,274596.9131399624
1479,280128.6834805372
1480,516500.35524966085
1481,314571.28586774704
1482,204462.02436229633
1483,175930.29588925556
1484,167735.62304705853
1485,179301.3459645589
1486,193833.73843702293
1487,329975.95737317303
1488,227904.58982162707
1489,199948.40031826214
1490,231920.99665909275
1491,191721.43472346468
1492,90617.28429909203
1493,171006.57706175974
1494,280495.880247083
1495,282995.3782806386
1496,243187.30100250672
1497,179017.5086213732
1498,168069.23424400948
1499,160785.89225954915
1500,155495.97603853542
1501,176335.31146118673
1502,150364.54593217524
1503,291543.92751145177
1504,242097.3010171615
1505,226843.07904195014
1506,190801.3542221071
1507,256961.0116331858
1508,196779.88893209863
1509,160612.67113331222
1510,147704.39261509085
1511,150461.23890480844
1512,174894.72818102824
1513,142633.78681615906
1514,160665.0991296129
1515,195498.10444583642
1516,146070.80494567216
1517,165715.36793067507
1518,127441.73140819914
1519,222948.82409550808
1520,132195.45818377935
1521,135540.61319737099
1522,174131.52464859816
1523,113184.16263314971
1524,124280.48025412862
1525,123374.19451050073
1526,109887.63228999397
1527,106522.74330410753
1528,138043.22175674196
1529,149545.90940221417
1530,177827.64790761448
1531,105937.40122132435
1532,97930.75313102613
1533,148706.8871625625
1534,124172.99161782136
1535,147099.14585291035
1536,107364.08898831732
1537,62379.96798343648
1538,148838.05888570845
1539,186105.03999600455
1540,89932.45954568447
1541,134494.28633357288
1542,137581.4130265044
1543,196905.5015307647
1544,83087.51436704348
1545,112996.77098743213
1546,130683.26584455
1547,129912.8895210186
1548,137051.65168799655
1549,118152.95587515131
1550,134543.80381205163
1551,107575.96369142433
1552,136933.88338845363
1553,149364.04541257265
1554,121030.84233170684
1555,164361.8370993488
1556,87311.89009303959
1557,102299.87792084584
1558,101784.29453245012
1559,72995.6944288177
1560,126943.0035687572
1561,138531.4594345808
1562,129561.03032269533
1563,120589.96849440895
1564,163159.66533279524
1565,144045.8704230527
1566,226330.95091534936
1567,75681.30701833151
1568,233378.4112615769
1569,133615.06757521268
1570,138195.16217543968
1571,118881.36823178122
1572,146537.32480618826
1573,235302.4660826519
1574,119245.09029457135
1575,223865.56780044592
1576,251724.17195425686
1577,190843.1187622583
1578,143364.0571178008
1579,141315.63005788586
1580,188655.76349578804
1581,150869.79907747757
1582,125299.90179399452
1583,314101.005264136
1584,222980.14216260044
1585,140391.63327141313
1586,71111.32920957553
1587,101836.36203674856
1588,152542.72610232022
1589,100103.88122487748
1590,136174.8987373724
1591,94932.02504646727
1592,117722.68549989346
1593,122609.20951140481
1594,129490.9416025621
1595,108635.47525033615
1596,232857.34139472144
1597,191067.58522399966
1598,214351.2663943542
1599,158834.2880678889
1600,159051.37688703687
1601,69673.48953280678
1602,113908.32892209773
1603,83453.90611164113
1604,258612.53666691715
1605,244779.66701053598
1606,174327.1723347026
1607,172195.43520755696
1608,214977.1109046333
1609,188530.1881370284
1610,156481.42724164497
1611,135838.5386079673
1612,170179.737129639
1613,166332.13742615504
1614,114998.181551041
1615,87021.76020070961
1616,73056.0336670313
1617,92137.62000310546
1618,126360.17855895805
1619,140320.25576597947
1620,162315.38578444446
1621,137877.77161027965
1622,139649.15724589833
1623,264667.4245397237
1624,213766.6250585852
1625,117301.48451512972
1626,165492.14978733554
1627,192836.49288956323
1628,276249.35290738585
1629,177381.3152239369
1630,380645.65288711624
1631,217241.82485426273
1632,237931.43461905446
1633,171934.07832936684
1634,186083.7433312527
1635,174364.86395748786
1636,157765.85409520564
1637,201034.69047400143
1638,180206.22248352744
1639,186126.92641873407
1640,257750.71730231761
1641,177858.4052649123
1642,235058.12822222756
1643,214420.03034965845
1644,234094.55025752907
1645,212494.99378413468
1646,160210.24340381927
1647,153267.80661809488
1648,131303.2305017988
1649,141028.46011047522
1650,115613.66301338165
1651,121175.22092657536
1652,99321.01055423931
1653,102082.64859575953
1654,147048.0109739084
1655,139523.42972338237
1656,141168.69658651645
1657,149049.69322870421
1658,144127.623456601
1659,121173.84135028026
1660,155436.74661539396
1661,465069.10874039296
1662,388304.5509745167
1663,365638.24423123925
1664,523709.2795391569
1665,300393.9718379757
1666,325251.927195955
1667,391989.4685679397
1668,341384.43168795225
1669,290883.4224421899
1670,336100.40497632086
1671,265478.5268226039
1672,478585.3750496402
1673,294449.18591029226
1674,240488.56287183767
1675,195798.50121098652
1676,194134.5024883877
1677,214353.96327521087
1678,493908.2090750139
1679,393035.3240452277
1680,335774.87261759245
1681,237071.26677444385
1682,302589.1546144866
1683,182457.21354462398
1684,171442.10818428843
1685,170849.9729337159
1686,170754.81553758812
1687,170766.27707229252
1688,190713.5354770118
1689,193857.42003423494
1690,191460.77666402995
1691,182136.56106091107
1692,254043.41990280873
1693,167467.8766490765
1694,178925.72385651254
1695,167925.15984540348
1696,269889.2327897615
1697,173150.8522860878
1698,354325.55143472104
1699,322774.55051255436
1700,244458.81225945987
1701,264653.954976377
1702,247262.2729117748
1703,243302.25099818368
1704,279910.7590474054
1705,229747.42918633568
1706,456907.11535352963
1707,216634.58347336677
1708,211588.24352462482
1709,269934.30200431816
1710,215895.37565473618
1711,273543.11738168873
1712,270889.3795850161
1713,270261.45655782643
1714,224815.60132586033
1715,205730.01906285327
1716,185063.30076590762
1717,167212.28602737116
1718,138554.70938543155
1719,196328.93614407434
1720,239082.23710631198
1721,166101.3899261824
1722,129432.79192047221
1723,158601.21380813696
1724,211767.48816539484
1725,244207.6911243052
1726,190939.08156248872
1727,156874.8218781444
1728,177322.6351883881
1729,167580.27961585548
1730,154376.55436415828
1731,121310.25772099552
1732,130103.60325345889
1733,117831.29226397257
1734,125003.45639343982
1735,131369.56568883767
1736,114379.32899772645
1737,293696.7681395569
1738,235884.07461932336
